,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
,Bismack Biyombo,PHX,29,6-8,255,None,DRC,2011,1,7,24,6.5,5.2,0.7,8.8,13.4%,19.6%,17.1%,61.8%,6.5%
,Blake Griffin,BKN,32,6-9,250,Oklahoma,USA,2009,1,1,52,6.5,4.1,1.9,-4.8,6.3%,16.7%,16.8%,50.8%,15.4%
,Boban Marjanovic,DAL,33,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted,19,4.3,1.6,0.1,13.0,7.2%,21.5%,31.6%,62.3%,3.8%
,Bobby Portis,MIL,27,6-10,250,Arkansas,USA,2015,1,22,59,15.5,9.2,1.2,6.5,8.4%,21.2%,21.0%,58.3%,6.2%
,Bogdan Bogdanovic,ATL,29,6-6,225,None,Serbia,2014,1,27,49,14.1,4.0,3.1,2.4,1.4%,11.9%,20.0%,55.8%,15.3%
,Bojan Bogdanovic,UTA,32,6-7,226,None,Croatia,2011,2,31,64,18.1,4.3,1.7,6.0,2.9%,10.4%,23.2%,60.3%,8.4%
,Bol Bol,ORL,22,7-2,220,Oregon,Sudan,2019,2,44,14,2.4,1.4,0.4,0.5,4.9%,21.1%,16.0%,56.5%,10.2%
,Bones Hyland,DEN,21,6-2,169,Virginia Commonwealth,USA,2021,1,26,55,8.9,2.7,2.3,0.5,1.0%,14.2%,22.9%,52.9%,19.8%
,Brad Wanamaker,WAS,32,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,23,3.6,1.7,2.4,-6.4,1.8%,10.7%,14.6%,47.2%,24.3%
,Bradley Beal,WAS,28,6-4,207,Florida,USA,2012,1,3,40,23.2,4.7,6.6,-3.5,2.6%,9.9%,29.7%,53.9%,30.9%
,Brandon Boston Jr.,LAC,20,6-6,188,Kentucky,USA,2021,2,51,48,6.4,2.1,0.9,-5.4,2.0%,11.2%,21.4%,47.5%,9.5%
,Brandon Clarke,MEM,25,6-8,215,Gonzaga,Canada,2019,1,21,54,10.3,5.6,1.3,5.9,10.0%,15.3%,16.9%,66.4%,10.2%
,Brandon Goodwin,CLE,26,6-0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,24,5.5,2.4,3.4,2.6,3.2%,11.9%,18.2%,48.1%,31.3%
,Brandon Ingram,NOP,24,6-8,190,Duke,USA,2016,1,2,50,22.8,5.7,5.5,2.9,1.9%,14.6%,29.1%,55.2%,26.7%
,Brandon Knight,DAL,30,6-2,182,Kentucky,USA,2011,1,8,3,10.0,2.3,2.7,7.9,0.0%,9.5%,21.7%,63.8%,22.9%
,Brandon Williams,POR,22,6-2,190,Arizona,USA,Undrafted,Undrafted,Undrafted,9,12.6,3.1,2.0,-18.0,2.1%,11.1%,26.4%,52.7%,17.5%
,Braxton Key,PHI,25,6-8,225,Virginia,USA,Undrafted,Undrafted,Undrafted,2,1.0,1.0,0.5,-33.3,10.0%,10.0%,21.1%,50.0%,33.3%
,Brodric Thomas,BOS,25,6-5,185,Truman State,USA,Undrafted,Undrafted,Undrafted,9,1.4,0.7,0.7,6.1,4.8%,6.9%,17.4%,44.0%,18.2%
,Brook Lopez,MIL,33,7-0,282,Stanford,USA,2008,1,10,1,8.0,5.0,0.0,2.0,5.7%,12.0%,12.9%,44.4%,0.0%
,Bruce Brown,BKN,25,6-4,202,Miami,USA,2018,2,42,59,7.7,4.6,1.6,-3.0,5.7%,13.3%,14.0%,55.4%,9.8%
,Bruno Fernando,HOU,23,6-9,240,Maryland,Angola,2019,2,34,25,2.0,1.4,0.2,-13.9,10.6%,20.8%,17.1%,67.3%,6.8%
,Bryn Forbes,DEN,28,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,65,9.4,1.4,1.0,-0.6,0.7%,6.7%,20.5%,57.6%,8.5%
,Buddy Hield,IND,29,6-4,220,Oklahoma,Bahamas,2016,1,6,68,15.4,4.3,2.6,-2.7,2.3%,11.2%,21.2%,54.8%,12.7%
,CJ Elleby,POR,21,6-6,200,Washington State,USA,2020,2,46,42,5.0,3.3,1.2,-9.9,4.8%,13.8%,14.1%,48.3%,9.8%
,CJ McCollum,NOP,30,6-3,190,Lehigh,USA,2013,1,10,48,22.2,4.6,5.1,-3.3,2.7%,10.0%,26.4%,55.5%,23.4%
,CJ Miles,BOS,34,6-6,220,No College,USA,2005,2,34,1,0.0,0.0,0.0,-100.0,0.0%,0.0%,0.0%,0.0%,0.0%
,Cade Cunningham,DET,20,6-6,220,Oklahoma State,USA,2021,1,1,54,16.9,5.9,5.3,-6.7,2.7%,15.2%,26.9%,49.7%,27.0%
,Caleb Martin,MIA,26,6-5,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,52,9.4,4.0,1.1,5.9,5.8%,11.4%,15.9%,61.3%,7.2%
,Cam Reddish,NYK,22,6-8,217,Duke,USA,2019,1,10,49,10.1,2.1,1.0,-9.8,2.3%,7.5%,21.3%,54.3%,7.8%
,Cam Thomas,BKN,20,6-3,210,Louisiana State,Japan,2021,1,27,57,9.2,2.4,1.3,-5.9,1.1%,11.4%,21.5%,51.9%,10.5%
,Cameron Johnson,PHX,26,6-8,210,North Carolina,USA,2019,1,11,60,12.8,4.1,1.5,8.3,2.2%,12.2%,16.5%,64.8%,7.8%
,Cameron McGriff,POR,24,6-7,220,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,3,4.7,5.0,1.0,7.3,9.8%,20.9%,12.2%,47.0%,8.6%
,Cameron Oliver,ATL,25,6-8,239,Nevada,USA,Undrafted,Undrafted,Undrafted,2,11.5,3.0,1.5,-0.9,5.1%,12.1%,16.7%,70.5%,9.7%
,Cameron Payne,PHX,27,6-1,183,Murray State,USA,2015,1,14,47,11.2,2.9,4.5,6.9,1.6%,10.7%,24.6%,49.8%,30.9%
,Caris LeVert,CLE,27,6-6,205,Michigan,USA,2016,1,20,43,18.2,3.6,4.4,-1.6,2.3%,9.4%,26.3%,52.3%,22.2%
