,,,,,,,,
,PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
,"
Tony
Bradley",CHI,13,C-F,6-10,248 lbs,North Carolina,USA
,"
Ignas
Brazdeikis",ORL,17,F,6-6,221 lbs,Michigan,Canada
,"
Mikal
Bridges",PHX,25,F,6-6,209 lbs,Villanova,USA
,"
Miles
Bridges",CHA,0,F,6-7,225 lbs,Michigan State,USA
,"
Oshae
Brissett",IND,12,F-G,6-7,210 lbs,Syracuse,Canada
,"
Malcolm
Brogdon",IND,7,G,6-5,229 lbs,Virginia,USA
,"
Armoni
Brooks",TOR,7,G,6-3,195 lbs,Houston,USA
,"
Dillon
Brooks",MEM,24,G-F,6-7,225 lbs,Oregon,Canada
,"
Bruce
Brown",BKN,1,G-F,6-4,202 lbs,Miami,USA
,"
Jaylen
Brown",BOS,7,G-F,6-6,223 lbs,California,USA
,"
Moses
Brown",CLE,9,C,7-2,245 lbs,UCLA,USA
,"
Sterling
Brown",DAL,0,G-F,6-5,219 lbs,Southern Methodist,USA
,"
Greg
Brown III",POR,4,F,6-7,206 lbs,Texas-Austin,USA
,"
Charlie
Brown Jr.",PHI,16,G,6-6,199 lbs,St. Joseph's (PA),USA
,"
Chaundee
Brown Jr.",,,F,6-5,215 lbs,Michigan,USA
,"
Troy
Brown Jr.",CHI,7,G-F,6-6,215 lbs,Oregon,USA
,"
Jalen
Brunson",DAL,13,G,6-1,190 lbs,Villanova,USA
,"
Thomas
Bryant",WAS,13,C-F,6-10,248 lbs,Indiana,USA
,"
Shaq
Buchanan",,,G,6-3,190 lbs,Murray State,USA
,"
Reggie
Bullock",DAL,25,G-F,6-6,205 lbs,North Carolina,USA
,"
Trey
Burke",DAL,3,G,6-0,185 lbs,Michigan,USA
,"
Alec
Burks",NYK,18,G,6-6,214 lbs,Colorado,USA
,"
Jared
Butler",UTA,13,G,6-3,193 lbs,Baylor,USA
,"
Jimmy
Butler",MIA,22,F,6-7,230 lbs,Marquette,USA
,"
Devontae
Cacok",SAS,18,F,6-7,240 lbs,North Carolina-Wilmington,USA
,"
Kentavious
Caldwell-Pope",WAS,1,G,6-5,204 lbs,Georgia,USA
,"
Facundo
Campazzo",DEN,7,G,5-10,195 lbs,Murcia,Argentina
,"
Vlatko
Cancar",DEN,31,F,6-8,236 lbs,San Pablo Burgos,Slovenia
,"
Clint
Capela",ATL,15,C,6-10,256 lbs,Elan Chalon,Switzerland
,"
Vernon
Carey Jr.",WAS,22,F-C,6-9,270 lbs,Duke,USA
,"
Jevon
Carter",MIL,5,G,6-1,200 lbs,West Virginia,USA
,"
Wendell
Carter Jr.",ORL,34,C-F,6-10,270 lbs,Duke,USA
,"
Alex
Caruso",CHI,6,G,6-5,186 lbs,Texas A&M,USA
,"
Willie
Cauley-Stein",,,C,7-0,240 lbs,Kentucky,USA
,"
Ahmad
Caver",,,G,6-2,174 lbs,Old Dominion,USA
,"
Justin
Champagnie",TOR,11,G-F,6-6,206 lbs,Pittsburgh,USA
,"
Zylan
Cheatham",,,F,6-5,220 lbs,Arizona State,USA
,"
Chris
Chiozza",GSW,2,G,5-11,175 lbs,Florida,USA
,"
Marquese
Chriss",DAL,35,F,6-9,240 lbs,Washington,USA
,"
Josh
Christopher",HOU,9,G,6-3,215 lbs,Arizona State,USA
,"
Gary
Clark",NOP,12,F,6-6,225 lbs,Cincinnati,USA
,"
Brandon
Clarke",MEM,15,F,6-8,215 lbs,Gonzaga,Canada
,"
Jordan
Clarkson",UTA,0,G,6-4,194 lbs,Missouri,USA
,"
Nic
Claxton",BKN,33,F-C,6-11,215 lbs,Georgia,USA
,"
Amir
Coffey",LAC,7,G-F,6-7,210 lbs,Minnesota,USA
,"
John
Collins",ATL,20,F-C,6-9,226 lbs,Wake Forest,USA
,"
Zach
Collins",SAS,23,F-C,6-11,250 lbs,Gonzaga,USA
,"
Darren
Collison",,,G,6-0,160 lbs,UCLA,USA
,"
Mike
Conley",UTA,11,G,6-1,175 lbs,Ohio State,USA
,"
Pat
Connaughton",MIL,24,G,6-5,209 lbs,Notre Dame,USA
,"
Tyler
Cook",CHI,25,F,6-8,255 lbs,Iowa,USA
,"
Sharife
Cooper",ATL,2,G,6-1,176 lbs,Auburn,USA
,"
Petr
Cornelie",,,F,6-11,220 lbs,France,France
,"
DeMarcus
Cousins",DEN,4,C,6-10,270 lbs,Kentucky,USA
,"
Robert
Covington",LAC,23,F,6-7,209 lbs,Tennessee State,USA
,"
Torrey
Craig",PHX,0,F,6-7,221 lbs,South Carolina Upstate,USA
